Categoria;Fabricante;Cod.;Modelo;Combustivel;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
TABELA A - AUTOMOVEIS;AUDI;106148;AUDI A1 1.4TFSI;G;; R$ 65.732,00 ;; R$ 59.350,00 ; R$ 55.174,00 ; R$ 52.319,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106149;AUDI TTS RD PRESTIGE;G;;;;;; R$ 165.264,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106150;AUDI A8 L;G;; R$ 330.601,00 ;;;; R$ 230.747,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106198;AUDI A5 CB 225CV;G;; R$ 190.197,00 ; R$ 168.507,00 ; R$ 161.240,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106152;AUDI A8 L 6.3FSI;G;;;; R$ 503.807,00 ; R$ 475.666,00 ; R$ 449.096,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106158;AUDI TTRS CP 2.5TFSI;G;;;; R$ 238.378,00 ; R$ 230.046,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106155;AUDI TT RS 2.5T;G;;;;;; R$ 221.627,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106157;AUDI A5 C PREMIUM PLUS;G;;;;;; R$ 164.337,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106122;AUDI A6 AVANT 3.0T FSI;G;;;;;;; R$ 142.149,00 ; R$ 133.230,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106159;AUDI TTRS RD 2.5TFSI;G;;;; R$ 276.163,00 ; R$ 250.823,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106145;AUDI TT RD 2.0TFSI;G;; R$ 196.146,00 ; R$ 172.001,00 ; R$ 149.577,00 ; R$ 141.163,00 ; R$ 135.615,00 ; R$ 130.244,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106160;AUDI RS3 2.5TFSI;G;;;; R$ 221.265,00 ; R$ 187.009,00 ; R$ 172.724,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106154;AUDI A7;G;;;;;; R$ 146.764,00 ;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106136;AUDI R8 5.2 V10 SPYDER;G;; R$ 723.489,00 ; R$ 657.325,00 ; R$ 578.593,00 ; R$ 554.839,00 ; R$ 492.713,00 ; R$ 465.060,00 ;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106181;AUDI A8 4.0TFSI;G;;;; R$ 406.002,00 ;;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106161;AUDI S5 CP 3.0TFSI;G;;; R$ 260.976,00 ; R$ 250.661,00 ; R$ 210.703,00 ;;;;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106124;AUDI S3 2.0 TURBO FSI;G;;;; R$ 125.989,00 ; R$ 117.853,00 ; R$ 100.932,00 ; R$ 94.054,00 ; R$ 87.058,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106126;AUDI TTS RD 2.0T 272CV;G;;;;; R$ 193.597,00 ; R$ 165.264,00 ; R$ 144.936,00 ; R$ 143.031,00 ;;;;;;;
TABELA A - AUTOMOVEIS;AUDI;106132;AUDI A3 2.0T FSI;G;;;; R$ 62.711,00 ; R$ 59.004,00 ; R$ 55.838,00 ; R$ 46.101,00 ; R$ 44.377,00 ;;;;;;;
