Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
VOLKSWAGEN;GOL 1.0 SELECAO;TABELA A – CARROS;115785,00;G;;;;;;;;;;;;;R$ 28.020,00;R$ 23.440,00;R$ 21.868,00;R$ 20.402,00;R$ 19.035,00;;;;;;;;
VOLKSWAGEN;GOL 1.8 COPA;TABELA A – CARROS;115774,00;G;;;;;;;;;;;;;;;R$ 27.534,00;;;;;;R$ 15.571,00;R$ 14.847,00;;;
VOLKSWAGEN;GOL 1.0 ECOMOTION GIV;TABELA A – CARROS;115786,00;G;;;;;;;;;;;;;;R$ 21.013,00;R$ 20.157,00;R$ 18.251,00;R$ 16.867,00;;;R$ 13.961,00;;;;;
VOLKSWAGEN;GOL 1.6 RALLYE;TABELA A – CARROS;115772,00;G;;;;;;;;;;;;;;R$ 30.567,00;R$ 28.672,00;R$ 27.312,00;R$ 24.928,00;R$ 21.919,00;R$ 19.273,00;R$ 18.205,00;R$ 17.403,00;R$ 16.637,00;R$ 14.592,00;;
VOLKSWAGEN;GOL 1.0 CITY;TABELA A – CARROS;115770,00;G;;;;;;;;;;;;;;;;;;;R$ 13.431,00;;R$ 12.396,00;R$ 11.446,00;;R$ 10.358,00;R$ 9.065,00
VOLKSWAGEN;GOL 1.6 CITY;TABELA A – CARROS;115769,00;G;;;;;;;;;;;;;;;;;;;;R$ 13.860,00;;R$ 11.888,00;R$ 11.778,00;R$ 10.291,00;R$ 10.126,00
VOLKSWAGEN;GOL 2.0 POWER;TABELA A – CARROS;115767,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 14.643,00
VOLKSWAGEN;GOL 1.8 POWER;TABELA A – CARROS;115766,00;G;;;;;;;;;;;;;;;;;;;R$ 17.687,00;R$ 16.674,00;R$ 16.259,00;R$ 15.448,00;R$ 14.051,00;R$ 13.505,00;R$ 12.982,00
VOLKSWAGEN;GOL 1.6 POWER;TABELA A – CARROS;115765,00;G;;;;;;;;;;;;;;R$ 29.082,00;R$ 26.475,00;R$ 24.453,00;R$ 21.790,00;R$ 17.489,00;R$ 16.770,00;R$ 16.166,00;R$ 15.207,00;R$ 14.396,00;R$ 13.883,00;R$ 13.408,00;R$ 11.954,00
VOLKSWAGEN;GOL 16V SPORT;TABELA A – CARROS;115763,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 10.595,00
VOLKSWAGEN;VW PASSAT 2.0T FSI;TABELA A – CARROS;112260,00;G;;;;;;;;;;;;;;;;;R$ 43.297,00;R$ 37.593,00;R$ 35.416,00;R$ 33.816,00;R$ 31.791,00;;;;
VOLKSWAGEN;GOL 1.0 COPA;TABELA A – CARROS;115775,00;G;;;;;;;;;;;;;;;;;;;R$ 15.516,00;;R$ 13.612,00;;;;
VOLKSWAGEN;NOVO GOL 1.0 TRACK;TABELA A – CARROS;115796,00;G;;;;;;;;;;;;;R$ 26.989,00;R$ 26.092,00;;;;;;;;;;;
VOLKSWAGEN;SANTANA 2000 MI;TABELA A – CARROS;117028,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 15.084,00;R$ 13.927,00;R$ 12.915,00
VOLKSWAGEN;PARATI SURF;TABELA A – CARROS;116614,00;G;;;;;;;;;;;;;;;;;;R$ 25.886,00;R$ 23.647,00;R$ 22.114,00;R$ 20.681,00;R$ 19.341,00;R$ 18.088,00;R$ 16.916,00;R$ 15.819,00
VOLKSWAGEN;PARATI CL 1.8;TABELA A – CARROS;116613,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 16.721,00
VOLKSWAGEN;PARATI GL 1.8;TABELA A – CARROS;116612,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 19.640,00
VOLKSWAGEN;PARATI CL;TABELA A – CARROS;116605,00;G;;;;;;;;;;;;;;;;R$ 24.516,00;;;;;;;;;
VOLKSWAGEN;GOL AUTOMOVEL;TABELA A – CARROS;116205,00;G;;;;;;;;;;;;R$ 27.229,00;;;;;;;;;;;;;
VOLKSWAGEN;KOMBI L;TABELA A – CARROS;116201,00;G;;;;;;;;;;;;;;;;;;;;;R$ 16.227,00;;;;
VOLKSWAGEN;GOL;TABELA A – CARROS;115799,00;G;;;;;;;;;;;;;;;;R$ 16.357,00;;;R$ 13.358,00;R$ 12.914,00;R$ 12.484,00;R$ 11.147,00;R$ 9.969,00;R$ 9.424,00;R$ 8.909,00
